Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,13,9,9,4,100.00,30.77,6,66.67,2026-02-06
1002 AP PUERTO VALLARTA LOCAL,2,1,1,1,100.00,50.00,1,100.00,2026-02-06
1003 AP PUERTO VALLARTA ESCALA,2,0,1,1,0.00,100.00,0,0.00,2026-02-06
1004 AP MERIDA,3,1,2,1,50.00,50.00,0,0.00,2026-02-06
1010 AP CDMX BJ T2,9,1,8,1,12.50,50.00,1,100.00,2026-02-06
1015 CC GUADALAJARA PLAZA ANDARES,3,2,3,0,66.67,0.00,2,100.00,2026-02-06
1017 CC MORELIA AMERICAS,18,13,14,4,92.86,23.53,13,100.00,2026-02-06
1018 CC MERIDA ALTABRISA,6,1,1,5,100.00,83.33,1,100.00,2026-02-06
1020 AP GUADALAJARA ISLA,7,0,7,0,0.00,0.00,0,0.00,2026-02-06
1021 CC PUEBLA ANGELOPOLIS,4,2,2,2,100.00,50.00,2,100.00,2026-02-06
1023 CC SAN LUIS POTOSÍ,2,2,2,0,100.00,0.00,2,100.00,2026-02-06
1024 CC VILLAHERMOSA ALTABRISA,6,1,1,5,100.00,83.33,1,100.00,2026-02-06
1025 CC MERIDA GALERIAS,5,2,2,3,100.00,60.00,1,50.00,2026-02-06
1026 AP VILLAHERMOSA,6,1,2,4,50.00,80.00,1,100.00,2026-02-06
1030 AP CULIACÁN,2,1,2,0,50.00,0.00,0,0.00,2026-02-06
1031 CC CDMX FORUM BUENAVISTA,7,4,4,3,100.00,42.86,3,75.00,2026-02-06
1032 CC CAMPECHE GALERIAS,4,2,2,2,100.00,50.00,2,100.00,2026-02-06
1034 CC QUERETARO PLAZA ANTEA,4,2,2,2,100.00,50.00,2,100.00,2026-02-06
1036 CC CULIACÁN PLAZA FORUM,5,0,1,4,0.00,100.00,0,0.00,2026-02-06
1037 AP CANCÚN SALA AIRE,11,2,10,1,20.00,33.33,2,100.00,2026-02-06
1038 AP LOS CABOS,4,1,3,1,33.33,50.00,1,100.00,2026-02-06
1042 CC GUADALAJARA GALERIAS,5,3,4,1,75.00,25.00,2,66.67,2026-02-06
1045 CC TUXTLA FASHION MALL,4,0,1,3,0.00,100.00,0,0.00,2026-02-06
1046 CC CABOS PUERTO PARAISO,11,4,6,5,66.67,55.56,4,100.00,2026-02-06
1047 CC GUADALAJARA PLAZA PATRIA,2,1,1,1,100.00,50.00,1,100.00,2026-02-06
1048 AP DEL BAJIO,2,1,2,0,50.00,0.00,1,100.00,2026-02-06
1049 CC GUADALAJARA LA PERLA,3,1,1,2,100.00,66.67,1,100.00,2026-02-06
1052 CC CDMX LAS ANTENAS,3,1,3,0,33.33,0.00,1,100.00,2026-02-06
1053 CC VERACRUZ ANDAMAR,11,3,10,1,30.00,25.00,3,100.00,2026-02-06
1054 CC CDMX PARQUE LINDAVISTA,3,1,1,2,100.00,66.67,1,100.00,2026-02-06
1055 CC CDMX PARQUE VIA VALLEJO,1,0,0,1,0.00,100.00,0,0.00,2026-02-06
1058 AP TIJUANA AMBULATORIO,7,3,4,3,75.00,50.00,1,33.33,2026-02-06
1064 CC CDMX SATÉLITE,4,2,4,0,50.00,0.00,2,100.00,2026-02-06
1065 CC CDMX PARQUE TEPEYAC,7,4,7,0,57.14,0.00,4,100.00,2026-02-06
1066 CC CANCUN AMERICAS,2,1,2,0,50.00,0.00,1,100.00,2026-02-06
1068 AP AERO MERIDA AMBULATORIO,2,0,1,1,0.00,100.00,0,0.00,2026-02-06
1069 AP TIJUANA ISLA,2,0,1,1,0.00,100.00,0,0.00,2026-02-06
2001 TC GUADALAJARA CAÑADAS,3,2,3,0,66.67,0.00,2,100.00,2026-02-06
2004 CC LEON MULZA,11,9,11,0,81.82,0.00,9,100.00,2026-02-06
2008 CC CDMX PUNTA NORTE,13,5,8,5,62.50,50.00,5,100.00,2026-02-06
2009 CC CANCÚN PASEOS,21,12,15,6,80.00,33.33,12,100.00,2026-02-06
2011 TC GUADALAJARA TESISTÁN,4,2,2,2,100.00,50.00,2,100.00,2026-02-06
2012 CC LERMA PLAZAS OUTLET,14,9,11,3,81.82,25.00,9,100.00,2026-02-06
2014 CC CUERNAVACA FORUM,13,9,11,2,81.82,18.18,9,100.00,2026-02-06
2015 EXPLANADA PACHUCA,16,9,12,4,75.00,30.77,8,88.89,2026-02-06
2016 CC QUERETARO PREMIUM OUTLETS,8,6,7,1,85.71,14.29,6,100.00,2026-02-06
2018 CC EXPLANADA CULIACAN,9,6,6,3,100.00,33.33,6,100.00,2026-02-06
2021 CC CDMX PORTAL CENTRO,7,3,4,3,75.00,50.00,3,100.00,2026-02-06
2022 CC LEON NUEVO MULZA,9,2,8,1,25.00,33.33,2,100.00,2026-02-06
2023 CC OUTLET RIVIERA MAYA,7,2,4,3,50.00,60.00,2,100.00,2026-02-06
2024 CC OUTLET LEON,6,5,5,1,100.00,16.67,4,80.00,2026-02-06
2050 TC GUADALAJARA MFS VALLARTA,10,3,8,2,37.50,40.00,3,100.00,2026-02-06
