Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,8,4,8,0,50.00,0.00,1,25.00,2026-03-10
1002 AP PUERTO VALLARTA LOCAL,4,0,0,4,0.00,100.00,0,0.00,2026-03-10
1003 AP PUERTO VALLARTA ESCALA,2,2,2,0,100.00,0.00,0,0.00,2026-03-10
1004 AP MERIDA,4,2,3,1,66.67,33.33,1,50.00,2026-03-10
1010 AP CDMX BJ T2,7,1,6,1,16.67,50.00,1,100.00,2026-03-10
1015 CC GUADALAJARA PLAZA ANDARES,3,3,3,0,100.00,0.00,2,66.67,2026-03-10
1017 CC MORELIA AMERICAS,6,3,5,1,60.00,25.00,3,100.00,2026-03-10
1018 CC MERIDA ALTABRISA,5,4,4,1,100.00,20.00,3,75.00,2026-03-10
1020 AP GUADALAJARA ISLA,7,2,5,2,40.00,50.00,2,100.00,2026-03-10
1021 CC PUEBLA ANGELOPOLIS,4,4,4,0,100.00,0.00,3,75.00,2026-03-10
1023 CC SAN LUIS POTOSÍ,3,2,2,1,100.00,33.33,0,0.00,2026-03-10
1024 CC VILLAHERMOSA ALTABRISA,3,2,2,1,100.00,33.33,2,100.00,2026-03-10
1025 CC MERIDA GALERIAS,2,1,1,1,100.00,50.00,1,100.00,2026-03-10
1026 AP VILLAHERMOSA,2,1,1,1,100.00,50.00,1,100.00,2026-03-10
1030 AP CULIACÁN,3,3,3,0,100.00,0.00,1,33.33,2026-03-10
1031 CC CDMX FORUM BUENAVISTA,5,3,3,2,100.00,40.00,3,100.00,2026-03-10
1032 CC CAMPECHE GALERIAS,2,1,1,1,100.00,50.00,1,100.00,2026-03-10
1036 CC CULIACÁN PLAZA FORUM,5,3,3,2,100.00,40.00,3,100.00,2026-03-10
1037 AP CANCÚN SALA AIRE,11,1,11,0,9.09,0.00,1,100.00,2026-03-10
1038 AP LOS CABOS,2,0,2,0,0.00,0.00,0,0.00,2026-03-10
1042 CC GUADALAJARA GALERIAS,4,1,2,2,50.00,66.67,0,0.00,2026-03-10
1044 CC MERIDA LA ISLA,4,2,2,2,100.00,50.00,2,100.00,2026-03-10
1045 CC TUXTLA FASHION MALL,4,1,2,2,50.00,66.67,1,100.00,2026-03-10
1046 CC CABOS PUERTO PARAISO,11,4,5,6,80.00,60.00,4,100.00,2026-03-10
1047 CC GUADALAJARA PLAZA PATRIA,5,4,5,0,80.00,0.00,4,100.00,2026-03-10
1049 CC GUADALAJARA LA PERLA,2,1,1,1,100.00,50.00,1,100.00,2026-03-10
1052 CC CDMX LAS ANTENAS,3,0,3,0,0.00,0.00,0,0.00,2026-03-10
1053 CC VERACRUZ ANDAMAR,4,3,3,1,100.00,25.00,3,100.00,2026-03-10
1054 CC CDMX PARQUE LINDAVISTA,2,0,1,1,0.00,100.00,0,0.00,2026-03-10
1055 CC CDMX PARQUE VIA VALLEJO,1,0,1,0,0.00,0.00,0,0.00,2026-03-10
1058 AP TIJUANA AMBULATORIO,2,2,2,0,100.00,0.00,2,100.00,2026-03-10
1064 CC CDMX SATÉLITE,4,2,2,2,100.00,50.00,2,100.00,2026-03-10
1065 CC CDMX PARQUE TEPEYAC,1,1,1,0,100.00,0.00,1,100.00,2026-03-10
1066 CC CANCUN AMERICAS,5,2,2,3,100.00,60.00,2,100.00,2026-03-10
1067 AP AERO DF AMBULATORIO T1,7,1,7,0,14.29,0.00,1,100.00,2026-03-10
1068 AP AERO MERIDA AMBULATORIO,5,3,3,2,100.00,40.00,3,100.00,2026-03-10
1069 AP TIJUANA ISLA,3,0,2,1,0.00,100.00,0,0.00,2026-03-10
2001 TC GUADALAJARA CAÑADAS,5,4,4,1,100.00,20.00,4,100.00,2026-03-10
2004 CC LEON MULZA,7,6,6,1,100.00,14.29,6,100.00,2026-03-10
2008 CC CDMX PUNTA NORTE,5,0,4,1,0.00,100.00,0,0.00,2026-03-10
2009 CC CANCÚN PASEOS,13,5,6,7,83.33,58.33,5,100.00,2026-03-10
2011 TC GUADALAJARA TESISTÁN,2,0,0,2,0.00,100.00,0,0.00,2026-03-10
2012 CC LERMA PLAZAS OUTLET,7,5,6,1,83.33,16.67,5,100.00,2026-03-10
2014 CC CUERNAVACA FORUM,9,5,5,4,100.00,44.44,5,100.00,2026-03-10
2015 EXPLANADA PACHUCA,11,8,9,2,88.89,20.00,7,87.50,2026-03-10
2016 CC QUERETARO PREMIUM OUTLETS,8,3,5,3,60.00,50.00,3,100.00,2026-03-10
2018 CC EXPLANADA CULIACAN,4,1,2,2,50.00,66.67,1,100.00,2026-03-10
2021 CC CDMX PORTAL CENTRO,5,2,4,1,50.00,33.33,2,100.00,2026-03-10
2022 CC LEON NUEVO MULZA,4,3,3,1,100.00,25.00,2,66.67,2026-03-10
2023 CC OUTLET RIVIERA MAYA,5,1,2,3,50.00,75.00,1,100.00,2026-03-10
2024 CC OUTLET LEON,6,2,3,3,66.67,60.00,2,100.00,2026-03-10
2050 TC GUADALAJARA MFS VALLARTA,10,0,5,5,0.00,100.00,0,0.00,2026-03-10
