Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,17,11,15,2,73.33,15.38,6,54.55,2026-02-20
1002 AP PUERTO VALLARTA LOCAL,8,6,6,2,100.00,25.00,2,33.33,2026-02-20
1003 AP PUERTO VALLARTA ESCALA,7,5,7,0,71.43,0.00,2,40.00,2026-02-20
1004 AP MERIDA,7,3,6,1,50.00,25.00,2,66.67,2026-02-20
1010 AP CDMX BJ T2,14,1,13,1,7.69,50.00,1,100.00,2026-02-20
1015 CC GUADALAJARA PLAZA ANDARES,3,2,3,0,66.67,0.00,2,100.00,2026-02-20
1017 CC MORELIA AMERICAS,7,5,5,2,100.00,28.57,5,100.00,2026-02-20
1018 CC MERIDA ALTABRISA,6,4,4,2,100.00,33.33,4,100.00,2026-02-20
1020 AP GUADALAJARA ISLA,17,8,16,1,50.00,11.11,5,62.50,2026-02-20
1021 CC PUEBLA ANGELOPOLIS,4,1,1,3,100.00,75.00,1,100.00,2026-02-20
1023 CC SAN LUIS POTOSÍ,4,4,4,0,100.00,0.00,0,0.00,2026-02-20
1024 CC VILLAHERMOSA ALTABRISA,4,4,4,0,100.00,0.00,4,100.00,2026-02-20
1025 CC MERIDA GALERIAS,5,3,3,2,100.00,40.00,3,100.00,2026-02-20
1026 AP VILLAHERMOSA,11,9,10,1,90.00,10.00,8,88.89,2026-02-20
1030 AP CULIACÁN,5,4,4,1,100.00,20.00,2,50.00,2026-02-20
1031 CC CDMX FORUM BUENAVISTA,10,4,4,6,100.00,60.00,4,100.00,2026-02-20
1032 CC CAMPECHE GALERIAS,6,4,4,2,100.00,33.33,3,75.00,2026-02-20
1034 CC QUERETARO PLAZA ANTEA,1,1,1,0,100.00,0.00,1,100.00,2026-02-20
1036 CC CULIACÁN PLAZA FORUM,7,1,1,6,100.00,85.71,1,100.00,2026-02-20
1037 AP CANCÚN SALA AIRE,14,0,14,0,0.00,0.00,0,0.00,2026-02-20
1038 AP LOS CABOS,7,1,7,0,14.29,0.00,1,100.00,2026-02-20
1042 CC GUADALAJARA GALERIAS,3,2,2,1,100.00,33.33,2,100.00,2026-02-20
1044 CC MERIDA LA ISLA,2,0,2,0,0.00,0.00,0,0.00,2026-02-20
1045 CC TUXTLA FASHION MALL,3,1,1,2,100.00,66.67,1,100.00,2026-02-20
1046 CC CABOS PUERTO PARAISO,18,5,11,7,45.45,58.33,5,100.00,2026-02-20
1047 CC GUADALAJARA PLAZA PATRIA,3,3,3,0,100.00,0.00,3,100.00,2026-02-20
1048 AP DEL BAJIO,3,1,1,2,100.00,66.67,1,100.00,2026-02-20
1049 CC GUADALAJARA LA PERLA,2,0,0,2,0.00,100.00,0,0.00,2026-02-20
1052 CC CDMX LAS ANTENAS,4,1,3,1,33.33,50.00,1,100.00,2026-02-20
1053 CC VERACRUZ ANDAMAR,3,2,2,1,100.00,33.33,2,100.00,2026-02-20
1054 CC CDMX PARQUE LINDAVISTA,3,1,1,2,100.00,66.67,1,100.00,2026-02-20
1055 CC CDMX PARQUE VIA VALLEJO,5,0,2,3,0.00,100.00,0,0.00,2026-02-20
1058 AP TIJUANA AMBULATORIO,6,5,6,0,83.33,0.00,4,80.00,2026-02-20
1064 CC CDMX SATÉLITE,5,0,2,3,0.00,100.00,0,0.00,2026-02-20
1065 CC CDMX PARQUE TEPEYAC,7,6,6,1,100.00,14.29,4,66.67,2026-02-20
1066 CC CANCUN AMERICAS,6,2,4,2,50.00,50.00,2,100.00,2026-02-20
1068 AP AERO MERIDA AMBULATORIO,3,1,3,0,33.33,0.00,1,100.00,2026-02-20
1069 AP TIJUANA ISLA,1,0,1,0,0.00,0.00,0,0.00,2026-02-20
2001 TC GUADALAJARA CAÑADAS,13,4,4,9,100.00,69.23,4,100.00,2026-02-20
2004 CC LEON MULZA,9,2,7,2,28.57,50.00,2,100.00,2026-02-20
2008 CC CDMX PUNTA NORTE,10,7,8,2,87.50,22.22,7,100.00,2026-02-20
2009 CC CANCÚN PASEOS,19,10,14,5,71.43,33.33,10,100.00,2026-02-20
2011 TC GUADALAJARA TESISTÁN,10,5,6,4,83.33,44.44,4,80.00,2026-02-20
2012 CC LERMA PLAZAS OUTLET,23,11,22,1,50.00,8.33,11,100.00,2026-02-20
2014 CC CUERNAVACA FORUM,8,4,5,3,80.00,42.86,4,100.00,2026-02-20
2015 EXPLANADA PACHUCA,16,6,7,9,85.71,60.00,6,100.00,2026-02-20
2016 CC QUERETARO PREMIUM OUTLETS,9,4,6,3,66.67,42.86,4,100.00,2026-02-20
2018 CC EXPLANADA CULIACAN,8,4,4,4,100.00,50.00,4,100.00,2026-02-20
2021 CC CDMX PORTAL CENTRO,12,4,6,6,66.67,60.00,4,100.00,2026-02-20
2022 CC LEON NUEVO MULZA,5,2,3,2,66.67,50.00,2,100.00,2026-02-20
2023 CC OUTLET RIVIERA MAYA,6,1,1,5,100.00,83.33,1,100.00,2026-02-20
2024 CC OUTLET LEON,3,1,2,1,50.00,50.00,1,100.00,2026-02-20
2050 TC GUADALAJARA MFS VALLARTA,10,3,6,4,50.00,57.14,3,100.00,2026-02-20
