Tienda,Orders,Registrados,Tickets Válidos,Recompras,Conversion (%),Tasa Recompras (%),Verificados,% Verificados,FechaBase
1001 AP GUADALAJARA,5,3,4,1,75.00,25.00,3,100.00,2026-04-09
1002 AP PUERTO VALLARTA LOCAL,4,2,3,1,66.67,33.33,1,50.00,2026-04-09
1003 AP PUERTO VALLARTA ESCALA,3,3,3,0,100.00,0.00,2,66.67,2026-04-09
1004 AP MERIDA,4,2,4,0,50.00,0.00,2,100.00,2026-04-09
1010 AP CDMX BJ T2,4,0,4,0,0.00,0.00,0,0.00,2026-04-09
1015 CC GUADALAJARA PLAZA ANDARES,5,3,3,2,100.00,40.00,1,33.33,2026-04-09
1017 CC MORELIA AMERICAS,6,3,4,2,75.00,40.00,3,100.00,2026-04-09
1018 CC MERIDA ALTABRISA,8,4,4,4,100.00,50.00,4,100.00,2026-04-09
1020 AP GUADALAJARA ISLA,7,1,7,0,14.29,0.00,1,100.00,2026-04-09
1021 CC PUEBLA ANGELOPOLIS,8,5,6,2,83.33,28.57,4,80.00,2026-04-09
1023 CC SAN LUIS POTOSÍ,2,2,2,0,100.00,0.00,1,50.00,2026-04-09
1024 CC VILLAHERMOSA ALTABRISA,6,3,4,2,75.00,40.00,3,100.00,2026-04-09
1025 CC MERIDA GALERIAS,12,7,8,4,87.50,36.36,6,85.71,2026-04-09
1026 AP VILLAHERMOSA,5,2,2,3,100.00,60.00,2,100.00,2026-04-09
1030 AP CULIACÁN,5,3,3,2,100.00,40.00,3,100.00,2026-04-09
1031 CC CDMX FORUM BUENAVISTA,8,4,6,2,66.67,33.33,4,100.00,2026-04-09
1032 CC CAMPECHE GALERIAS,3,2,2,1,100.00,33.33,2,100.00,2026-04-09
1034 CC QUERETARO PLAZA ANTEA,1,0,0,1,0.00,100.00,0,0.00,2026-04-09
1036 CC CULIACÁN PLAZA FORUM,2,0,0,2,0.00,100.00,0,0.00,2026-04-09
1037 AP CANCÚN SALA AIRE,12,5,12,0,41.67,0.00,3,60.00,2026-04-09
1038 AP LOS CABOS,8,5,7,1,71.43,16.67,5,100.00,2026-04-09
1042 CC GUADALAJARA GALERIAS,2,0,0,2,0.00,100.00,0,0.00,2026-04-09
1044 CC MERIDA LA ISLA,3,0,0,3,0.00,100.00,0,0.00,2026-04-09
1045 CC TUXTLA FASHION MALL,11,9,9,2,100.00,18.18,9,100.00,2026-04-09
1047 CC GUADALAJARA PLAZA PATRIA,5,4,4,1,100.00,20.00,4,100.00,2026-04-09
1049 CC GUADALAJARA LA PERLA,3,0,1,2,0.00,100.00,0,0.00,2026-04-09
1052 CC CDMX LAS ANTENAS,4,1,3,1,33.33,50.00,1,100.00,2026-04-09
1053 CC VERACRUZ ANDAMAR,3,3,3,0,100.00,0.00,3,100.00,2026-04-09
1054 CC CDMX PARQUE LINDAVISTA,2,0,0,2,0.00,100.00,0,0.00,2026-04-09
1058 AP TIJUANA AMBULATORIO,7,4,7,0,57.14,0.00,1,25.00,2026-04-09
1064 CC CDMX SATÉLITE,3,1,1,2,100.00,66.67,1,100.00,2026-04-09
1065 CC CDMX PARQUE TEPEYAC,6,4,4,2,100.00,33.33,4,100.00,2026-04-09
1066 CC CANCUN AMERICAS,6,2,4,2,50.00,50.00,2,100.00,2026-04-09
1067 AP AERO DF AMBULATORIO T1,4,1,4,0,25.00,0.00,0,0.00,2026-04-09
1068 AP AERO MERIDA AMBULATORIO,3,1,2,1,50.00,50.00,1,100.00,2026-04-09
1069 AP TIJUANA ISLA,6,2,5,1,40.00,33.33,2,100.00,2026-04-09
2001 TC GUADALAJARA CAÑADAS,9,6,7,2,85.71,25.00,6,100.00,2026-04-09
2004 CC LEON MULZA,14,6,11,3,54.55,33.33,6,100.00,2026-04-09
2008 CC CDMX PUNTA NORTE,3,1,3,0,33.33,0.00,1,100.00,2026-04-09
2009 CC CANCÚN PASEOS,10,4,4,6,100.00,60.00,4,100.00,2026-04-09
2011 TC GUADALAJARA TESISTÁN,10,7,7,3,100.00,30.00,7,100.00,2026-04-09
2012 CC LERMA PLAZAS OUTLET,12,5,7,5,71.43,50.00,5,100.00,2026-04-09
2014 CC CUERNAVACA FORUM,12,9,9,3,100.00,25.00,9,100.00,2026-04-09
2015 EXPLANADA PACHUCA,18,5,15,3,33.33,37.50,5,100.00,2026-04-09
2016 CC QUERETARO PREMIUM OUTLETS,12,8,10,2,80.00,20.00,8,100.00,2026-04-09
2018 CC EXPLANADA CULIACAN,7,4,4,3,100.00,42.86,4,100.00,2026-04-09
2021 CC CDMX PORTAL CENTRO,2,1,1,1,100.00,50.00,1,100.00,2026-04-09
2022 CC LEON NUEVO MULZA,14,7,11,3,63.64,30.00,7,100.00,2026-04-09
2023 CC OUTLET RIVIERA MAYA,12,3,10,2,30.00,40.00,3,100.00,2026-04-09
2024 CC OUTLET LEON,8,1,5,3,20.00,75.00,1,100.00,2026-04-09
2050 TC GUADALAJARA MFS VALLARTA,5,3,4,1,75.00,25.00,3,100.00,2026-04-09
